# Tera Type, mean, std, min, 25%, 50%, 75%, max
GRD,63.8367421011,11.3242087482,44.2394589265,57.0563864380,61.7269452793,66.4665284589,99.0222491788
STL,61.1242100825,10.3321678390,40.5376379162,53.3324964289,59.8868296970,68.8002569716,93.4272834908
ELC,55.7503526730,14.8262577992,25.3245186399,44.5578862080,53.5029714316,66.1316674828,100.0000000000
FGT,55.7478671141,11.4339553208,35.6518470216,47.7343008287,53.4773206915,62.0690445258,90.3383318066
FRY,55.7439426503,13.2692632513,28.1213955278,46.4058317646,55.4919685882,63.3333792791,91.3385503613
WTR,55.1424160455,11.1345103684,28.1064440463,48.0126201606,54.0432404363,60.7778162138,85.9433961062
PSN,47.8024855674,12.8340126419,21.8203393699,38.3334520917,45.5748617600,57.5291980494,86.0236255391
FIR,47.3182966355,10.4576411475,28.3176039308,40.8570358091,45.3422647916,52.2704773920,80.4666773803
FLY,45.9170843293,10.0985749304,23.2450812425,39.2306664669,44.4374078884,50.7084104366,74.5871844479
GHT,45.6999560857,15.0957427773,14.4728493502,35.2231507943,45.5421740299,55.2383140740,85.2486675095
PSY,44.6247902922,11.8437769278,20.7525149543,37.1594419286,43.4280678145,52.3139443755,76.7098610849
DRK,44.1300956775,13.3654036933,21.1904407996,34.3654193301,41.9328225586,52.5871898597,78.8889452729
NRM,43.3201333455,13.8456812290,12.2719125249,33.2696595155,41.9077628251,51.4643973468,80.2783803390
BUG,42.1029090045,9.5819446920,19.7989905294,36.0961645479,40.6502290108,48.0272476281,69.8228930816
ICE,38.9216826830,9.3702574279,23.7735596638,31.2334400467,37.7966966027,41.7691957116,65.7889447026
GRS,38.6264600073,9.2119240395,23.6302276379,32.3378156948,36.6637342218,43.3380490163,64.8020925138
DRG,37.1402437055,12.7205512785,8.8961569182,26.0073294009,36.8424156980,46.2916638279,72.8273747417
---,35.8144343485,12.2022211838,7.0279441059,27.1449563081,35.4554901595,43.4439226796,70.9679605677
RCK,31.4421510597,8.3944499116,20.8042818526,25.6423255492,28.9407125212,34.6237480082,57.3126548657
